#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-92.600006,75,115.612647
-92.700005,74,115.689565
-94.600006,55,116.380664
-95.0,51,117.046554
-92.100006,80,117.417673
-93.00001,71,117.948498
-91.3,88,118.112409
-91.0,91,118.741348
-94.8,53,119.537309
-91.8,83,119.917832
-94.8,53,119.995064
-91.90001,82,120.463158
-94.700005,54,121.47888
-91.4,87,121.557419
-94.9,52,121.721447
-93.4,67,121.915225
-95.0,51,122.20009
-91.8,83,122.521779
-94.700005,54,122.575284
-94.9,52,123.796548
-94.9,52,124.16199
-92.4,77,124.964237
-93.5,66,125.368201
-94.600006,55,126.011862
-93.200005,69,126.01196
-94.600006,55,126.168422
-94.8,53,126.441817
-93.600006,65,126.759633
-94.700005,54,126.843664
-91.90001,82,128.560882
-93.200005,69,129.417215
-91.3,88,129.708395
-92.8,73,130.044351
-93.600006,65,130.299925
-93.4,67,131.473227
-91.600006,85,132.211406
-93.200005,69,132.365536
-92.3,78,132.365627
-92.600006,75,132.514738
-91.3,88,133.372647
-94.8,53,133.736683
-91.3,88,134.055522
-93.200005,69,134.220987
-92.8,73,135.708412
-94.9,52,136.5654
-93.5,66,137.03758
-91.700005,84,137.03769
-93.600006,65,137.742853
-90.8,93,137.920894
-94.700005,54,138.121954
-92.8,73,138.527743
-94.600006,55,138.694394
-92.4,77,138.694475
-92.700005,74,139.316777
-93.100006,70,139.605551
-95.0,51,139.74335
-94.4,57,140.864381
-93.600006,65,141.84806
-94.600006,55,142.666608
-92.3,78,142.852299
-93.5,66,142.852382
-93.600006,65,143.00939
-94.700005,54,143.420476
-93.5,66,143.653508
-94.8,53,143.653604
-91.600006,85,144.186893
-93.4,67,146.06259
-91.600006,85,146.222618
-94.5,56,147.078728
-94.8,53,147.078809
-88.99999,111,147.28424
-93.3,68,147.284344
-94.700005,54,147.789846
-93.5,66,148.363164
-93.00001,71,149.395376
-92.8,73,149.524241
-91.600006,85,149.719922
-92.9,72,150.082764
-94.700005,54,151.607502
-93.4,67,151.678046
-91.8,83,152.707485
-92.8,73,152.881586
-92.700005,74,153.143879
-94.9,52,153.428741
-90.8,93,154.475536
-91.4,87,154.65347
-91.8,83,154.871995
-92.700005,74,155.469518
-92.200005,79,156.078302
-94.600006,55,156.078384
-92.600006,75,156.078404
-94.600006,55,156.15561
-94.600006,55,158.111465
-93.5,66,158.609233
-92.700005,74,158.840213
-94.700005,54,158.993757
-92.50001,76,159.149431
-93.600006,65,159.962063
-94.700005,54,160.424499
-93.5,66,161.407959
-92.700005,74,161.48436
-91.600006,85,161.916423
-92.700005,74,162.121879
-91.4,87,163.094588
-94.9,52,163.183874
-94.600006,55,163.275367
-94.9,52,163.364815
-92.50001,76,164.235037
-93.200005,69,164.235145
-94.600006,55,164.536186
-94.8,53,164.771701
-94.700005,54,192.918613
-93.4,67,194.345222
-94.700005,54,194.502417
-92.700005,74,194.502495
-94.700005,54,195.583784
-91.8,83,195.828422
-92.600006,75,196.343495
-92.700005,74,196.343569
-92.50001,76,196.343588
-92.600006,75,197.219325
-92.8,73,197.356175
-93.3,68,198.210966
-94.600006,55,198.868517
-91.100006,90,198.956971
-93.600006,65,199.483839
-94.8,53,199.762287
-93.5,66,199.762372
-94.700005,54,200.656082
-94.8,53,201.425155
-92.700005,74,201.726221
-92.3,78,202.507627
-93.4,67,202.687195
-91.8,83,202.9206
-94.8,53,203.139009
-93.5,66,203.495529
-94.700005,54,204.135125
-94.700005,54,204.135221
-92.50001,76,204.991214
-92.700005,74,205.479614
-94.8,53,205.727372
-94.9,52,206.025389
-91.8,83,207.334833
-94.8,53,207.786674
-93.100006,70,208.202291
-92.8,73,208.599952
-93.100006,70,208.600029
-94.4,57,208.677919
-94.9,52,209.169833
-92.4,77,209.421077
-93.4,67,209.54546
